RobotX, RobotY, RobotAngle
370, 182, 180

			measurements
 rayX, rayY, raylength, RayAngle 
384.9129873451276, 203.29795315151358, 104.00000000000023, 55
384.16061491039136, 203.80543476658113, 104.00000000000178, 57
383.3909899476621, 204.28634981825502, 104.00000000000175, 59
383.08985974665075, 205.61473209276386, 107.99999999999991, 61
380.8957719937498, 203.38415658052054, 96.00000000000021, 63
380.1428382817767, 203.75138688887932, 95.99999999999882, 65
378.9868159552534, 203.17161162940585, 91.99999999999913, 67
378.24246283954216, 203.47234980943563, 92.00000000000031, 69
377.8136357069711, 204.69244581438375, 95.99999999999972, 71
377.0169209133451, 204.95131414311277, 95.99999999999898, 73
375.95283803735845, 204.21629400464852, 92.00000000000028, 75
375.17387424990915, 204.41051149006037, 92.00000000000009, 77
374.5794158890367, 205.5590524027441, 96.00000000000036, 79
373.91086162600516, 206.6922085148782, 99.99999999999861, 81
373.04673358512844, 206.81365379103337, 100.00000000000117, 83
388.73848469074574, 396.18186008972754, 860.0000000000086, 85
381.25223059222947, 396.7053499722327, 859.9999999999965, 87
373.7522673840104, 396.96725445862694, 860.0000000000109, 89
366.2477326159896, 396.96725445862694, 860.0000000000109, 91
362.6729661259901, 321.8081348656399, 559.9999999999977, 93
357.885351758076, 320.4710630347541, 556.0000000000057, 95
352.93829192328076, 320.956461229785, 559.9999999999991, 97
348.0991748943711, 320.27636768331786, 559.9999999999922, 99
343.0959316519095, 320.40943286611974, 563.9999999999948, 101
339.8565587179206, 312.56558868122295, 536.0000000000069, 103
337.64761936218235, 302.74072828613464, 500.0000000000069, 105
333.16116520493836, 302.4943992513434, 503.99999999999983, 107
328.65284438394445, 302.0808591011126, 507.99999999999324, 109
323.77053450865486, 302.43187501813895, 516.0000000000017, 111
318.8142221679045, 302.5861358022681, 523.9999999999951, 113
313.7917711884876, 302.53893567587437, 531.9999999999986, 115
308.71128253515735, 302.28588076542803, 540.0000000000011, 117
303.0962724060073, 302.6975195852375, 551.9999999999995, 119
297.89466951258873, 302.0034220982947, 560.0000000000042, 121
291.57197895783247, 302.76856178414164, 576.0000000000099, 123
253.56398342073473, 348.28786499066695, 812.0000000000119, 125
253.84970053165847, 336.1366534391271, 771.9999999999895, 127
253.57572765578385, 325.7720028695413, 739.9999999999958, 129
253.87755186867935, 315.58359569942957, 707.999999999999, 131
253.37828042931358, 307.06148297688054, 684.0000000000048, 133
253.32738110421872, 298.6726188957813, 660.0000000000053, 135
253.71476144254967, 290.4377392499365, 636.0000000000044, 137
253.77472464569405, 283.0330904645389, 615.9999999999992, 139
253.42810578145088, 276.3980586574758, 600.0000000000114, 141
334.8600375579192, 208.47986101869049, 176.00000000000057, 143
334.77646209557247, 206.6637867630944, 172.0000000000016, 145
333.9371655783466, 205.41947850564603, 172.00000000000028, 147
331.42747146840605, 205.17671337095234, 179.99999999999602, 149
329.7674934715875, 204.3012425313309, 183.99999999999986, 151
326.34068031477057, 204.2455344872378, 195.9999999999979, 153
